<TCP> 0: Completed Requests: 2000, Min: 0.0650000000132422, Max: 0.249000000050728, Mean: 0.148129500030178, 99th Perc: 0.226000000046042, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 0: Completed Requests: 2000, Min: 0.0650000000132422, Max: 0.257000000052358, Mean: 0.147667000030084, 99th Perc: 0.22800000004645, MeanIC: 1, FlowsMissed: 0
<EDF-P> 0: Completed Requests: 2000, Min: 0.0650000000132422, Max: 0.257000000052358, Mean: 0.147667000030084, 99th Perc: 0.22800000004645, MeanIC: 1, FlowsMissed: 0
<Vriksha> 0: Completed Requests: 2000, Min: 0.0650000000132422, Max: 0.285000000058062, Mean: 0.148077000030167, 99th Perc: 0.234000000047672, MeanIC: 1, FlowsMissed: 0
<SJF-P> 0: Completed Requests: 2000, Min: 0.0650000000132422, Max: 0.25500000005195, Mean: 0.14646850002984, 99th Perc: 0.226000000046042, MeanIC: 1, FlowsMissed: 0
<TCP> 1: Completed Requests: 2000, Min: 0.0670000000136497, Max: 0.252000000051339, Mean: 0.153124000031195, 99th Perc: 0.233000000047468, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 1: Completed Requests: 2000, Min: 0.0670000000136497, Max: 0.273000000055617, Mean: 0.150905000030743, 99th Perc: 0.237000000048283, MeanIC: 1, FlowsMissed: 0
<EDF-P> 1: Completed Requests: 2000, Min: 0.0670000000136497, Max: 0.273000000055617, Mean: 0.150905000030743, 99th Perc: 0.237000000048283, MeanIC: 1, FlowsMissed: 0
<Vriksha> 1: Completed Requests: 2000, Min: 0.0680000000138534, Max: 0.254000000051747, Mean: 0.149715000030501, 99th Perc: 0.22800000004645, MeanIC: 1, FlowsMissed: 0
<SJF-P> 1: Completed Requests: 2000, Min: 0.0670000000136497, Max: 0.272000000055414, Mean: 0.150802000030722, 99th Perc: 0.239000000048691, MeanIC: 1, FlowsMissed: 0
<TCP> 2: Completed Requests: 2000, Min: 0.0710000000144646, Max: 0.266000000054191, Mean: 0.156759500031936, 99th Perc: 0.241000000049098, MeanIC: 1, FlowsMissed: 0
